parameter,dimension_0,dimension_1,name_0,name_1,value,str_value,
appraisal_period,,,,,30,,
discount_rate,,,,,7,,
start_year,,,,,2019,,
opening_year,,,,,2020,,
annualisation,,,,,260,,
facility_length,,,,,2,,
base_year_demand,Bicycle,,Bicycle,,900,,
base_year_demand,Pedestrian,,Pedestrian,,800,,
base_year_demand,e-Bike,,e-Bike,,200,,
base_year_demand,e-Scooter,,e-Scooter,,100,,
demand_growth,Bicycle,,Bicycle,,3,,
demand_growth,Pedestrian,,Pedestrian,,3,,
demand_growth,e-Bike,,e-Bike,,3,,
demand_growth,e-Scooter,,e-Scooter,,3,,
diversion_rate,Bicycle,Car,Bicycle,from car %,10,,
diversion_rate,Bicycle,Transit,Bicycle,from transit %,20,,
diversion_rate,Bicycle,Reassign,Bicycle,from Bicycle %,65,,
diversion_rate,Bicycle,Induced,Bicycle,new trips %,5,,
diversion_rate,Pedestrian,Car,Pedestrian,from car %,5,,
diversion_rate,Pedestrian,Transit,Pedestrian,from transit %,15,,
diversion_rate,Pedestrian,Reassign,Pedestrian,from Pedestrian %,70,,
diversion_rate,Pedestrian,Induced,Pedestrian,new trips %,10,,
diversion_rate,e-Bike,Car,e-Bike,from car %,10,,
diversion_rate,e-Bike,Transit,e-Bike,from transit %,20,,
diversion_rate,e-Bike,Reassign,e-Bike,from e-Bike %,65,,
diversion_rate,e-Bike,Induced,e-Bike,new trips %,5,,
diversion_rate,e-Scooter,Car,e-Scooter,from car %,10,,
diversion_rate,e-Scooter,Transit,e-Scooter,from transit %,20,,
diversion_rate,e-Scooter,Reassign,e-Scooter,from e-Scooter %,65,,
diversion_rate,e-Scooter,Induced,e-Scooter,new trips %,5,,
diversion_congestion,busy,,busy (%),,50,,
diversion_congestion,medium,,medium (%),,30,,
diversion_congestion,light,,light (%),,20,,
trip_distance,Bicycle,,Bicycle,,4.8,,
trip_distance,Pedestrian,,Pedestrian,,1.1,,
trip_distance,e-Bike,,e-Bike,,4.8,,
trip_distance,e-Scooter,,e-Scooter,,4.8,,
surface_distance_prop_base,on-road,,On-road (no provision) %,,70,,
